Epoch,Train_Loss,Train_F1,Valid_Loss,Valid_F1
1,1.0173227813742685,0.46064320410632575,0.8985460978417542,0.5556115988588531
2,0.8548217567922626,0.5749502773235873,0.8100861520241017,0.6112050054358479
3,0.8033374959117987,0.5987365722096349,0.8213472922969179,0.6048721771955801
4,0.7793852985400781,0.6078684045240518,0.7832137957806463,0.6317293937252049
5,0.7604383539664117,0.6169763388703682,0.793193492724153,0.6317242652526838
6,0.7402587581799054,0.6301466915668135,0.7650730509329646,0.6418979850189259
7,0.7349728445696192,0.626315801426621,0.7567291908540303,0.6481527088538355
8,0.7083219263191501,0.6458424521664176,0.7785127947877326,0.6139537921663875
9,0.6968452399268171,0.6501494348531487,0.7243264086214962,0.647017122298946
10,0.6980795227676813,0.6498169568216061,0.785874466726457,0.6589226712086655
11,0.6901773603593638,0.6508970702248327,0.7519325929801322,0.6333974879748314
12,0.6807952399005325,0.6550525092497461,0.7186022175809753,0.6596909571082316
13,0.6735835058085861,0.6624182652595947,0.7533869933603672,0.6613875431509548
14,0.6688282709248562,0.6626886752753246,0.7830826820600973,0.6660760774426008
15,0.6653549576781702,0.6663080996195513,0.7422774815146259,0.6690076496737368
16,0.6623032293484562,0.6663647269877802,0.7290478856988656,0.6526818073147481
17,0.6599159999988978,0.6675098444487115,0.7186258690736634,0.6639373708964841
18,0.6442222608167175,0.6717138719489408,0.7576759831578124,0.6710338836750825
19,0.6407424146979646,0.6729666496642593,0.7627335089937063,0.6485285534111702
20,0.644328022480257,0.6704481886653731,0.7609783183261786,0.6518931111138507
21,0.6296861543239007,0.6774114575836911,0.8042358494870369,0.6596266910490899
22,0.6280558073297156,0.6794717237024084,0.757142747856415,0.6605789586248034
23,0.6237286458109218,0.6783611471180864,0.7591481028057591,0.6638166699406647
24,0.6134618998195838,0.6854056321903539,0.7613550678160546,0.6642029210415246
25,0.6035041751668005,0.6892156692657481,0.7669707625846149,0.6306070715255702
26,0.6014392714996375,0.6881806010661741,0.8543737950631597,0.6779417568304255
27,0.6014180657520637,0.6880255491960098,0.7708193631787524,0.6550790067255468
28,0.5866444782648643,0.6946564917632407,0.8011383466453135,0.659693986576974
29,0.5880296244567144,0.6920697380797833,0.7756399431839632,0.659348752383879
30,0.579361484111719,0.6984224062093836,0.7515319068030685,0.6547995339311816
31,0.5737454850365691,0.7035899119301573,0.8255414951896755,0.6720179395754506
32,0.5765559743846559,0.696522519004154,0.9216756894606952,0.6708215552002823
33,0.5653984620018048,0.700755022633933,0.9160010572769193,0.6722532936844129
34,0.5497943246305129,0.7100248133729412,0.931570944098974,0.6767152878448012
